term,category
conjunction,phenomenon
crevasse,phenomenon
day,phenomenon
equinox,phenomenon
sunglint,phenomenon
sunrise,phenomenon
sunset,phenomenon
sunshine,phenomenon
front,phenomenon
night,phenomenon
solstice,phenomenon
icefall,phenomenon
bond,phenomenon
cloud,phenomenon
cyclone,phenomenon
ecosystem,phenomenon
fire,phenomenon
flood,phenomenon
fog,phenomenon
forest,phenomenon
forestry,phenomenon
lightning,phenomenon
permafrost,phenomenon
photon,phenomenon
savanna,phenomenon
storm,phenomenon
thunderstorm,phenomenon
tropopause,phenomenon
universe,phenomenon
vacuum,phenomenon
habitat,phenomenon
drought,phenomenon
fibrosis,phenomenon
filamentation,phenomenon
forecast,phenomenon
gelifluction,phenomenon
guttation,phenomenon
gyre,phenomenon
heterosis,phenomenon
extinction,phenomenon
infarction,phenomenon
landfall,phenomenon
life,phenomenon
panspermia,phenomenon
paralysis,phenomenon
peristalsis,phenomenon
stemflow,phenomenon
symbiosis,phenomenon
synnecrosis,phenomenon
treethrow,phenomenon
superposition,phenomenon
stasis,phenomenon
shortage,phenomenon
progradation,phenomenon
repercussion,phenomenon
lateration,phenomenon
multilateration,phenomenon
impaction,process
abandonment,process
abatement,process
aberration,process
ablation,process
abrasion,process
absorption,process
abstraction,process
acceptance,process
acceleration,process
acclimatization,process
accommodation,process
accretion,process
accumulation,process
acquisition,process
action,process
activation,process
actuation,process
adaptation,process
addition,process
adhesion,process
adjustment,process
adoption,process
adsorption,process
advance,process
advection,process
aerologation,process
aging,process
aggregation,process
aliasing,process
alignment,process
alleviation,process
allocation,process
allograft,process
allotment,process
alteration,process
alternation,process
amortization,process
amplification,process
amputation,process
anchorage,process
animation,process
annealing,process
annexation,process
annihilation,process
application,process
approach,process
appulse,process
arrest,process
arrival,process
ascension,process
aspiration,process
assemblage,process
assessment,process
assimilation,process
assistance,process
atomization,process
attachment,process
attack,process
attainment,process
attenuation,process
attraction,process
augmentation,process
austempering,process
austenitizing,process
autocollimation,process
autoconversion,process
autografting,process
averaging,process
aversion,process
avoidance,process
avulsion,process
backcrossing,process
backfire,process
backlash,process
backscatter,process
backspin,process
blancing,process
bale,process
ballasting,process
beaming,process
bear,process
belay,process
bend,process
berth,process
bifurcation,process
binning,process
binding,process
bioaccumulation,process
bioconcentration,process
biodegradation,process
biomagnification,process
bioremediation,process
biosynthesis,process
bioturbation,process
birth,process
blasting,process
bleaching,process
blockage,process
blossoming,process
blowing,process
blowoff,process
blowout,process
boiling,process
bombardment,process
bonding,process
bore,process
borrowing,process
bouncing,process
brace,process
braiding,process
braking,process
branching,process
breaching,process
breaking,process
breakdown,process
breakout,process
breakover,process
breakthrough,process
breakup,process
breeding,process
brewing,process
bridging,process
brumate,process
bubbling,process
buckling,process
budding,process
buffer,process
buffeting,process
building,process
buildup,process
bulging,process
bundle,process
buoy,process
burrowing,process
bursting,process
downburst,process
outburst,process
bypass,process
cache,process
calibration,process
calving,process
camouflaging,process
canalization,process
cannul,process
capping,process
capture,process
carbonate,process
carrying,process
carving,process
cascading,process
casting,process
catalysis,process
catching,process
cauterization,process
cavitation,process
cessation,process
cementation,process
cancellation,process
centering,process
centralization,process
centrifugation,process
chafing,process
chamber,process
channelization,process
charge,process
chelation,process
chemigation,process
chemosynthesis,process
chewing,process
chipping,process
chirping,process
chisel,process
choking,process
churning,process
circling,process
circulation,process
circumnavigation,process
clamping,process
cleaning,process
clearance,process
cleaving,process
climb,process
clogging,process
cloning,process
closing,process
clot,process
clump,process
clustering,process
coagulation,process
coalescence,process
coat,process
coersion,process
coexistence,process
cognition,process
coiling,process
collapse,process
collection,process
collision,process
collimation,process
colonization,process
combination,process
combustion,process
comminution,process
compaction,process
compactification,process
compensation,process
competition,process
completion,process
complexation,process
compounding,process
compression,process
concealment,process
conception,process
conching,process
concussion,process
condensation,process
conditioning,process
conduction,process
confinement,process
conflation,process
confusion,phenomenon
congealment,process
congestion,process
conjugation,process
connection,process
conservation,process
consolidation,process
constraining,process
constriction,process
consumption,process
contactment,process
containment,process
contamination,process
contraception,process
contraction,process
contribution,process
control,process
contuse,process
convection,process
convergence,process
conversion,process
conveyance,process
convolute,process
convulsion,process
cooking,process
cooling,process
cooperation,process
coordination,process
coping,process
copying,process
coring,process
cornering,process
correction,process
correlation,process
corrosion,process
coupling,process
course,process
courtship,process
covering,process
cracking,process
cranking,process
crashing,process
cratering,process
creation,process
creeping,process
crest,process
crevasse,process
crimping,process
crossing,process
crossover,process
crossbreed,process
crosslink,process
crush,process
crystallization,process
culling,process
culmination,process
cultivation,process
culturing,process
curation,process
curing,process
curettage,process
curtailment,process
curve,process
cushion,process
cutting,process
cutoff,process
cycling,process
damming,process
damaging,process
damping,process
dampening,process
darkening,process
dating,process
deactivation,process
deburr,process
decanting,process
decaying,process
deception,process
deceleration,process
decentralization,process
decision,process
decimation,process
declination,process
decollimation,process
decomposition,process
decompression,process
defense,process
defertilization,process
defervesce,process
deflation,process
deflection,process
deformation,process
degradation,process
delay,process
deliberation,process
delineation,process
delivery,process
demand,process
demarcation,process
demolition,process
denaturation,process
denoising,process
densification,process
denude,process
departure,process
dependance,process
depletion,process
deployment,process
deposition,process
depression,process
deprivation,process
derailment,process
dereference,process
descent,process
desorption,process
destruction,process
desublimation,process
detachment,process
detention,process
detection,process
deterrment,process
deterioration,process
detonation,process
detoxification,process
detrainment,process
development,process
deviation,process
differentiation,process
diffraction,process
diffusion,process
digging,process
dilatation,process
dilation,process
dilution,process
dimming,process
dipping,process
disappearance,process
disassemble,process
discharging,process
disconnection,process
discovery,process
disentrainment,process
disgregation,process
disinfection,process
disintegration,process
dislocation,process
dismantling,process
dispersal,process
displacement,process
disposal,process
disruption,process
dissection,process
dissipation,process
dissociation,process
dissolution,process
distillation,process
distortion,process
distraction,process
distribution,process
disturbance,process
diving,process
divergence,process
diversion,process
division,process
dodging,process
dolomitization,process
domination,process
dosing,process
doubling,process
drafting,process
dragging,process
draining,process
drawing,process
drawdown,process
dredging,process
drifting,process
drilling,process
dripping,process
driving,process
duct,process
duplication,process
dyeing,process
dysregulation,process
ebbing,process
echoing,process
eclipsing,process
eddying,process
ejection,process
electrorefining,process
elimination,process
elongation,process
elution,process
eluviation,process
emanation,process
embalming,process
embarkation,process
embed,process
embrittle,process
emergence,process
emigration,process
emission,process
emplace,process
emulsification,process
encapsulation,process
encase,process
encroachment,process
enforcement,process
engagement,process
engineering,process
engraving,process
enrichment,process
entaglement,process
entrance,process
entrainment,process
equalization,process
equilibration,process
eradication,process
erosion,process
eruption,process
escalation,process
escape,process
establishment,process
estimation,process
estivation,process
etching,process
ethylation,process
evacuation,process
evasion,process
evaluation,process
evaporation,process
eviction,process
evolution,process
examination,process
excavation,process
exceeding,process
exchange,process
excitation,process
exclusion,process
excretion,process
excursion,process
exertion,process
exfitration,process
exfoliation,process
exhaustion,process
exhumation,process
existence,process
expansion,process
expelling,process
expiration,process
explosion,process
exploitation,process
exportation,process
exposition,process
expression,process
extension,process
extermination,process
extinguishment,process
extraction,process
extrapolation,process
extravasation,process
extrusion,process
exuding,process
fabrication,process
facet,process
fading,process
fail,process
falling,process
fasciculation,process
fasten,process
faulting,process
feeding,process
feedback,process
filling,process
filtration,process
find,process
fine,process
fingering,process
firing,process
fission,process
fix,process
fixation,process
flagellation,process
flamehold,process
flashing,process
flattening,process
flavoring,process
flexing,process
flicker,process
flipping,process
float,process
flocculation,process
flood,process
flowing,process
baseflow,process
backflow,process
inflow,process
flowthrough,process
fluctuation,process
flushing,process
fluttering,process
flight,process
focusing,process
fogging,process
folding,process
following,process
foraging,process
forcing,process
forecasting,process
forging,process
formation,process
fortification,process
fouling,process
fractionation,process
fracturing,process
fragmentation,process
freezing,process
freshening,process
fluctuation,process
fumigation,process
fusion,process
gaining,process
galling,process
gating,process
gathering,process
gelation,process
generation,process
germination,process
glancing,process
gliding,process
globalization,process
glowing,process
governance,process
gradation,process
grafting,process
gravitation,process
grazing,process
gridding,process
grinding,process
grip,process
grounding,process
growth,process
guidance,process
gust,process
gyration,process
habitation,process
hadronization,process
hardening,process
harvesting,process
hearing,process
heave,process
herding,process
hesitation,process
hibernation,process
hide,process
hit,process
hoard,process
hoisting,process
hopping,process
hovering,process
hunting,process
hybridization,process
hydroplane,process
hyperpolarization,process
icing,process
identification,process
idling,process
igniton,process
illuviation,process
imbrication,process
imersion,process
immobilization,process
impaction,process
impairment,process
impedance,process
impell,process
impinge,process
implantation,process
implosion,process
importation,process
impound,process
impregnation,process
improvement,process
incineration,process
incision,process
inclination,process
inclusion,process
incorporation,process
incubation,process
indentation,process
indication,process
induction,process
inebriation,process
infection,process
infestation,process
infill,process
infiltration,process
inflamation,process
inflation,process
inflection,process
infliction,process
influence,process
infusion,process
ingestion,process
inheritance,process
inhibition,process
initialization,process
injection,process
injure,process
innervation,process
innovation,process
innoculation,process
insertion,process
insolation,process
inspection,process
installation,process
institution,process
insulation,process
integration,process
intensification,process
interaction,process
interbreeding,process
intercalation,process
interception,process
interconnection,process
interdepend,process
interference,process
interflow,process
interlock,process
intermingling,process
interpolation,process
interruption,process
intersection,process
interspersion,process
intoxication,process
introgression,process
intrusion,process
innundation,process
invasion,process
inversion,process
invocation,process
iodization,process
ionization,process
irradiation,process
irrigation,process
irritation,process
isolation,process
iteration,process
jack,process
jackknifing,process
jamming,process
jaywalk,process
jetting,process
judder,process
juicing,process
jumping,process
juxtaposing,process
kinking,process
knocking,process
laceration,process
lagging,process
lamination,process
landing,process
lapsing,process
lashing,process
backlash,process
latching,process
launch,process
lautering,process
leaching,process
leading,process
leaking,process
lean,process
lensing,process
leveling,process
lever,process
levitation,process
libration,process
lie,process
lift,process
liftoff,process
uplift,process
limitation,process
lining,process
link,process
liquefaction,process
listing,process
litification,process
litigation,process
living,process
loading,process
localization,process
locking,process
locomotion,process
logging,process
losing,process
lowering,process
lubrication,process
maceration,process
macgyver,process
machining,process
magnetization,process
magnification,process
maintenance,process
management,process
maneuvering,process
manufacture,process
mapping,process
march,process
marking,process
martemper,process
masking,process
mastication,process
matching,process
mating,process
maturation,process
maximization,process
meandering,process
measurement,process
mediation,process
meeting,process
melting,process
mending,process
merging,process
metageneration,process
metamorphosis,process
migration,process
milling,process
mining,process
minimization,process
miss,process
mitigation,process
mitosis,process
mixing,process
mobilization,process
moderation,process
modification,process
modulation,process
molding,process
monitoring,process
mooring,process
motion,process
mowing,process
muliplication,process
mutation,process
navigation,process
neurovitrification,process
neutralization,process
nourishment,process
nucleation,process
nudging,process
nullification,process
nutation,process
obduction,process
obliteration,process
observation,process
obstruction,process
occlusion,process
occult,process
occurrence,process
offending,process
ooze,process
opening,process
operation,process
opposition,process
optimization,process
orientation,process
origination,process
oscillation,process
osmosis,process
outing,process
outcropping,process
outcross,process
outflow,process
outgassing,process
overexertion,process
overflow,process
overgrazing,process
overpopulate,process
overshooting,process
overturning,process
packing,process
painting,process
pairing,process
panning,process
paralyze,process
parametrization,process
parge,process
participation,process
partition,process
passage,process
passivation,process
patching,process
patination,process
paving,process
payment,process
payoff,process
peaking,process
pedaling,process
penetration,process
percolation,process
percussion,process
perforation,process
perfusion,process
permineralization,process
permutation,process
persist,process
perturbation,process
petrification,process
picking,process
piercing,process
pinning,process
pinching,process
pinging,process
piping,process
pitting,process
pitching,process
pivoting,process
placement,process
planning,process
planing,process
planting,process
plastering,process
plucking,process
plugging,process
plunging,process
pointing,process
polarization,process
polishing,process
pollination,process
pollution,process
polymerization,process
ponding,process
population,process
porpoise,process
portage,process
positioning,process
potentiation,process
pouring,process
precession,process
precipitation,process
predation,process
prediction,process
preparation,process
preprocessing,process
preservation,process
pressing,process
pressurization,process
prevail,process
prevention,process
priming,process
probation,process
processing,process
procurement,process
production,process
programming,process
projection,process
proliferation,process
prolonging,process
promotion,process
propagation,process
propelling,process
protection,process
provocation,process
pruning,process
pulling,process
pulsation,process
pulverization,process
pumping,process
puncturing,process
purification,process
pushing,process
putrefaction,process
quaking,process
quarantine,process
quenching,process
quilting,process
racing,process
radiation,process
radiolocation,process
rafting,process
raising,process
ramping,process
rancidification,process
ranging,process
rank,process
rarefaction,process
ratcheting,process
rating,process
reaction,process
reading,process
readjustement,process
reaping,process
reassessment,process
reattachment,process
rebounding,process
reception,process
recession,process
recharge,process
reciprocation,process
recirculation,process
reckoning,process
reclamation,process
recognition,process
recombination,process
reconciliation,process
recondition,process
reconnection,process
reconstruction,process
recovery,process
recriut,process
rectification,process
recurrence,process
recursion,process
recycling,process
redirection,process
redistribution,process
reduction,process
reeling,process
reentrance,process
refinement,process
reflection,process
reflux,process
refraction,process
refreezing,process
refreshment,process
refrigeration,process
refueling,process
refurbishment,process
regelation,process
regeneration,process
registration,process
regression,process
regridding,process
regulation,process
regurgitation,process
rehabilitation,process
reinforcement,process
reintroduction,process
rejection,process
relaxation,process
relaying,process
release,process
relieve,process
relocation,process
remediation,process
remittance,process
removal,process
rendering,process
renewal,process
repairing,process
repelling,process
replacement,process
replenishment,process
replication,process
repopulation,process
repose,process
reproduction,process
reprogramming,process
repuslion,process
requesting,process
rescaling,process
rescue,process
resetting,process
reside,process
resistance,process
resolution,process
resonation,process
response,process
resting,process
restitution,process
restore,process
restraining,process
resurfacing,process
resuscitation,process
resuspension,process
retention,process
retardation,process
retooling,process
retraction,process
retreat,process
retrieving,process
retrofitting,process
retrogradation,process
return,process
reuse,process
reverberation,process
reversal,process
revolving,process
reworking,process
ricocheting,process
riding,process
ridging,process
rifting,process
righting,process
riming,process
rinsing,process
ripping,process
ripening,process
rising,process
risking,process
rocking,process
rolling,process
rotation,process
roughnening,process
routing,process
rubbing,process
running,process
runoff,process
rupture,process
sailing,process
saltation,process
sampling,process
sanding,process
sanitization,process
sapping,process
saturation,process
saving,process
scaling,process
scanning,process
scarring,process
scattering,process
scavenging,process
scintillation,process
scour,process
scratching,process
screening,process
sealing,process
searching,process
seating,process
seclusion,process
secretion,process
sectioning,process
securing,process
seeding,process
seeking,process
seepage,process
segregation,process
seizing,process
selection,process
sensing,process
separation,process
sequencing,process
sequestration,process
serotyping,process
setting,process
settling,process
sewing,process
shading,process
shadowing,process
shaking,process
shaping,process
sharing,process
shattering,process
shearing,process
shedding,process
shielding,process
shifting,process
shoaling,process
shooting,process
shredding,process
shrinking,process
shunting,process
sideslipping,process
sieving,process
sifting,process
sighting,process
signaling,process
silencing,process
silting,process
simulation,process
sinking,process
sintering,process
sip,process
siphoning,process
skating,process
skeletonization,process
skidding,process
skimming,process
sliding,process
slipping,process
sluicing,process
slumping,process
smelting,process
smoking,process
smoothing,process
softening,process
solidification,process
solifluction,process
sonication,process
sorting,process
sounding,process
sourcing,process
sowing,process
spallation,process
spanning,process
sparing,process
sparge,process
spawning,process
speciation,process
spilling,process
spinning,process
splaying,process
splinting,process
splintering,process
splitting,process
spreading,process
sprouting,process
sputtering,process
spying,process
stabilization,process
stacking,process
staging,process
staggering,process
stagnation,process
staining,process
stalling,process
standing,process
starting,process
starving,process
steering,process
stepping,process
sterilization,process
stifling,process
stimulation,process
stirring,process
stitching,process
stocking,process
stoking,process
stopping,process
storage,process
strafing,process
straightening,process
straining,process
stratification,process
strengthening,process
stressing,process
stretching,process
striking,process
strobing,process
stroking,process
subduction,process
subitization,process
sublimation,process
submersion,process
submission,process
subsampling,process
subsidence,process
subtraction,process
subvocalization,process
succession,process
suckering,process
suction,process
suffusion,process
superconduction,process
supercooling,process
superheating,process
supply,process
support,process
supression,process
surfacing,process
surging,process
surround,process
surveying,process
survival,process
suspension,process
swabbing,process
swaying,process
sweeping,process
sweeten,process
swelling,process
swim,process
switching,process
synchronization,process
synthesis,process
tabulation,process
tacking,process
tagging,process
taking,process
intake,process
takeoff,process
takeover,process
uptake,process
tamping,process
tampering,process
tapping,process
taper,process
targeting,process
teardown,process
teleconnection,process
telecoupling,process
teleportation,process
tempering,process
tense,process
termination,process
terraformation,process
testing,process
thaw,process
thermoregulation,process
thermosetting,process
thickening,process
thinning,process
throttling,process
throughfall,process
throughflow,process
thrusting,process
tilling,process
tilting,process
tipping,process
titration,process
torquing,process
toughening,process
tracking,process
traction,process
trade,process
trail,process
training,process
transaction,process
transcription,process
transduction,process
transfection,process
transferrence,process
transformation,process
transfusion,process
transgression,process
transit,process
transition,process
translation,process
transmission,process
transmutation,process
transplantation,process
transportation,process
transudation,process
trapping,process
travel,process
traversal,process
treatment,process
trend,process
triangulation,process
triggering,process
trilateration,process
tripping,process
trituration,process
trying,process
tuning,process
tunneling,process
turning,process
turndown,process
turnout,process
turnover,process
twirling,process
twisting,process
twitching,process
typing,process
underdragging,process
undershooting,process
undertowing,process
undulation,process
unionization,process
unravelling,process
unzipping,process
uplift,process
upwelling,process
usage,process
utilization,process
validation,process
vaporization,process
variolation,process
variation,process
vellication,process
ventilation,process
verification,process
vibration,process
viewing,process
violation,process
vitrification,process
vocalization,process
volatilization,process
vulcanization,process
wagging,process
waiting,process
warming,process
warning,process
washing,process
washoff,process
wasting,process
watering,process
waterproofing,process
weakening,process
weathering,process
weaving,process
wedging,process
weighting,process
welding,process
wetting,process
whitening,process
wicking,process
wilting,process
winding,process
winnowing,process
wiping,process
withdrawal,process
withering,process
writing,process
xenografting,process
xenotransplantation,process
yawing,process
yielding,process
zipping,process
zoning,process
current,process
acidification,process
aeration,process
aggradation,process
alkylation,process
alluviation,process
ammonification,process
aridification,process
armament,process
basification,process
bioluminescence,process
bleeding,process
blister,process
breastfeeding,process
breath,process
broadcast,process
bromination,process
burial,process
calcification,process
carpool,process
chlorination,process
clearcutting,process
dealkalization,process
defenestration,process
defoliation,process
deforestation,process
defribillation,process
deglaciation,process
dehalogenation,process
dehydration,process
deionization,process
delamination,process
denitrification,process
dephosphorylation,process
deprotonation,process
desalination,process
desertification,process
dessication,process
dewatering,process
digestion,process
docking,process
donation,process
downcutting,process
downwelling,process
drowning,process
drying,process
electrification,process
electrocution,process
electrodeposition,process
electroplating,process
electrowinning,process
enrobing,process
esterification,process
ethylation,process
eutrophication,process
evapotranspiration,process
exhalation,process
exsanguination,process
fasting,process
fermentation,process
fertigate,process
fertilization,process
fibrillation,process
fluorescence,process
fluorination,process
glaciation,process
halogenation,process
heating,process
humidification,process
hydration,process
hydrogenation,process
hydrolysis,process
hydropeaking,process
illumination,process
immigration,process
immunization,process
incarceration,process
inhalation,process
iodination,process
luminescence,process
metabolism,process
methylation,process
mineralization,process
nesting,process
nitrification,process
ovulation,process
oxidation,process
oxychlorination,process
oxygenation,process
parachuting,process
peroxidation,process
perspiration,process
phosphorescence,process
phosphorylation,process
photolysis,process
photophosphorylation,process
photorespiration,process
photosynthesis,process
plowing,process
poisoning,process
protonation,process
pyritization,process
rancidification,process
reaeration,process
remineralization,process
respiration,process
resuscitation,process
revegetation,process
saccharification,process
sedimentation,process
suture,process
swimming,process
transpiration,process
trophobiosis,process
urbanization,process
vaccination,process
downforce,process
downscale,process
downturn,process
outbreak,process
outburst,process
silicification,process
harvest,process
downburst,process
downdraft,process
eddy,process
exodus,process
fecundation,process
friction,process
genesis,process
inception,process
incursion,process
inflow,process
intake,process
metabolism,process
omission,process
onset,process
outage,process
sorption,process
synchronization,process
synthesis,process
syzygy,process
tailspin,process
progradation,process
code,quantification
index,quantification
scale,quantification
rating,quantification
coefficient,proprole
constant,proprole
exponent,proprole
parameter,proprole
term,proprole
factor,proprole
dimension,proprole
degree,proprole
order,proprole
field,proptype
tensor,proptype
vector,proptype
scalar,proptype
boolean,proptype
categorical,proptype
dichotomous,proptype
binary,proptype
ordinal,proptype
interval,proptype
function,proptype
activity,property
ability,property
absorptivity,property
accountability,property
adequacy,property
affinity,property
alkalinity,property
amplitude,property
availability,property
capacity,property
charge,property
classification,property
completeness,property
composition,property
concentration,property
conductance,property
conductivity,property
configuration,property
connectivity,property
coverage,property
density,property
direction,property
diversity,property
efficiency,property
elasticity,property
emittance,property
equality,property
equity,property
fertility,property
fluorescence,property
frequency,property
gender,property
hardness,property
hydrophilicity,property
hydrophobicity,property
immiscibility,property
impedance,property
inability,property
inertia,property
inhibition,property
insecurity,property
insolubility,property
intensity,property
liquidity,property
magnitude,property
maturity,property
miscibility,property
moment,property
momentum,property
mortality,property
name,property
odor,property
order,property
orientation,property
periodicity,property
permeability,property
permittivity,property
persistence,property
phase,property
plasticity,property
potential,property
presence,property
prevalence,property
productivity,property
quality,property
radioactivity,property
rating,property
resistance,property
resistivity,property
roughness,property
safety,property
salinity,property
saturation,property
security,property
sodicity,property
solubility,property
speed,property
stability,property
state,property
susceptibility,property
sustainability,property
tension,property
transparency,property
transphilicity,property
turbidity,property
type,property
unity,property
velocity,property
viscosity,property
wetness,property
yield,property
volition,property
exteroception,property
interoception,property
independence,property
proprioception,property
turbulence,property
incidence,property
lifetime,property
resilience,property
wavenumber,property
temperature,quantity
diameter,quantity
acceleration,quantity
age,quantity
albedo,quantity
altitude,quantity
angle,quantity
area,quantity
depth,quantity
compressibility,quantity
duration,quantity
distance,quantity
energy,quantity
elevation,quantity
enthalpy,quantity
pressure,quantity
latitude,quantity
length,quantity
longitude,quantity
mass,quantity
period,quantity
price,quantity
radius,quantity
volume,quantity
sorptivity,quantity
speed,quantity
stress,quantity
velocity,quantity
vorticity,quantity
width,quantity
weight,quantity